region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size
POA2178,35,2500,573,350,1558,1.1,1503,3.3
POA2179,40,2000,425,300,1241,1.1,1119,3.0
POA2190,32,2100,362,280,1079,1.3,960,3.3
POA2191,38,2275,474,320,1311,1.2,1134,2.9
POA2192,35,1950,413,300,1088,1.3,987,2.8
POA2193,39,2167,571,350,1581,1.2,1394,2.7
POA2194,35,1733,389,320,974,1.4,945,2.8
POA2195,30,1506,362,295,897,1.5,858,3.0
POA2196,33,2000,386,300,1114,1.3,1003,3.2
POA2197,36,2008,395,250,1217,1.2,1048,3.0
POA2198,38,2167,518,389,1432,1.1,1324,3.1
POA2199,35,1955,386,300,1118,1.3,980,3.1
POA2200,32,1777,383,330,1036,1.3,981,3.1
POA2203,36,2200,767,360,1826,1.2,1540,2.3
POA2204,37,2330,617,340,1612,1.2,1405,2.5
POA2205,33,2383,553,401,1483,1.3,1411,2.8
POA2206,41,2400,539,400,1551,1.1,1370,2.8
POA2207,37,2200,537,370,1496,1.2,1366,2.9
POA2208,40,2500,504,360,1428,1.1,1258,2.9
POA2209,39,2167,496,320,1385,1.2,1173,2.7
POA2210,41,2167,500,200,1448,1.1,1136,2.7
POA2211,40,2167,558,340,1545,1.1,1288,2.7
POA2212,38,2167,517,320,1453,1.1,1247,2.8
POA2213,38,2253,601,330,1734,1.1,1442,2.8
POA2214,38,2200,637,395,1790,1.1,1680,2.9
POA2216,34,2167,555,380,1367,1.3,1257,2.6
POA2217,36,2167,575,370,1459,1.2,1272,2.6
POA2218,36,2155,563,360,1373,1.3,1266,2.7
POA2219,43,2405,631,365,1682,1.1,1259,2.4
POA2220,33,2000,446,400,1224,1.3,1171,2.9
POA2221,40,2400,631,400,1885,1.1,1633,2.9
POA2222,36,1993,594,340,1555,1.2,1303,2.6
POA2223,38,2200,706,350,1910,1.1,1578,2.6
POA2224,42,2600,642,389,1840,1.1,1510,2.7
POA2225,38,2900,753,460,2395,1.1,2172,3.0
POA2226,38,2550,729,310,2197,1.1,1874,2.8
POA2227,39,2600,726,380,2087,1.1,1746,2.7
POA2228,39,2321,647,370,1700,1.1,1372,2.5
POA2229,40,2551,705,370,1989,1.1,1541,2.6
POA2230,39,2400,824,360,2042,1.1,1524,2.3
POA2231,37,2600,621,378,1701,1.1,1605,3.0
POA2232,38,2300,719,360,1903,1.1,1525,2.5
POA2233,37,2383,690,370,1978,1.1,1773,3.0
POA2234,37,2383,731,440,2291,1.0,2191,3.2
POA2250,39,1824,545,275,1428,1.1,1135,2.5
POA2251,43,2000,533,300,1462,1.1,1149,2.6
POA2256,47,1800,461,250,1180,1.1,882,2.2
POA2257,44,1837,482,280,1160,1.1,891,2.3
POA2258,37,1961,575,265,1557,1.1,1349,2.8
POA2259,39,1800,477,275,1240,1.1,1014,2.7
POA2260,40,2167,648,350,1704,1.1,1443,2.6
POA2261,40,1809,487,270,1200,1.1,943,2.5
POA2262,38,1650,439,260,1048,1.1,883,2.6
POA2263,44,1554,419,245,990,1.1,762,2.3
POA2264,45,1690,473,260,1134,1.1,906,2.4
POA2265,41,1744,465,220,1318,1.1,1049,2.6
POA2267,49,1800,493,250,1214,1.1,930,2.3
POA2278,34,1664,598,280,1502,1.1,1391,3.0
POA2280,42,1920,531,250,1479,1.1,1148,2.5
POA2281,46,1800,453,255,1191,1.1,906,2.4
POA2282,42,1900,604,300,1703,1.1,1380,2.6
POA2283,44,1733,486,250,1264,1.1,1027,2.5
POA2284,42,1600,490,250,1230,1.1,994,2.5
POA2285,36,1756,562,275,1504,1.1,1260,2.6
POA2286,36,1603,512,280,1289,1.1,1169,2.8
POA2287,37,1733,532,280,1484,1.1,1228,2.6
POA2289,39,1900,611,290,1672,1.1,1333,2.5
POA2290,40,1800,551,280,1479,1.1,1181,2.5
POA2291,38,2100,748,300,2134,1.1,1537,2.4
POA2292,35,1800,625,270,1408,1.1,1131,2.2
POA2293,34,1863,646,300,1566,1.1,1208,2.2
POA2294,33,1733,596,280,1340,1.1,1056,2.2
POA2295,48,1850,482,250,1232,1.1,900,2.2
POA2296,34,1775,639,280,1317,1.1,1150,2.1
POA2297,36,1700,550,260,1296,1.1,996,2.2
POA2298,37,1700,486,250,1277,1.1,991,2.3
POA2299,33,1733,469,270,1334,1.1,976,2.4
POA2300,34,2050,789,310,2122,1.1,1468,2.0
POA2302,31,1950,775,350,1571,1.1,1204,1.7
POA2303,40,2000,559,215,1765,1.1,1030,2.2
POA2304,38,1733,518,260,1332,1.1,1013,2.3
POA2305,39,1863,643,285,1823,1.1,1337,2.5
POA2306,38,1387,340,132,722,1.1,566,2.3
POA2307,35,1560,434,270,1134,1.1,878,2.4
POA2308,20,0,132,0,0,0,0,0
POA2311,46,1560,449,160,1190,1.1,937,2.4
POA2312,43,1398,391,200,886,1.1,816,2.6
POA2314,24,0,1149,0,0,0,0,0
POA2315,49,1733,493,270,1161,1.0,914,2.3
POA2316,42,1863,464,295,1196,1.1,981,2.6
POA2317,50,1900,466,277,1068,1.1,866,2.2
POA2318,37,1800,587,250,1519,1.1,1381,2.8
POA2319,45,1500,436,250,1000,1.1,864,2.4
POA2320,36,1800,568,265,1623,1.1,1358,2.7
POA2321,39,1950,579,290,1646,1.1,1451,2.8
POA2322,36,1600,539,240,1412,1.1,1206,2.7
POA2323,37,1733,551,250,1486,1.1,1199,2.6
POA2324,41,1560,472,220,1134,1.1,936,2.5
POA2325,38,1517,453,220,1200,1.1,964,2.5
POA2326,37,1430,436,184,1163,1.1,969,2.6
POA2327,38,1387,441,230,1067,1.1,869,2.5
POA2328,37,1500,601,185,1610,1.1,1305,2.5
POA2329,42,1148,430,125,987,1.1,867,2.4
POA2330,34,1993,642,260,1933,1.1,1684,2.7
POA2333,33,1733,624,240,1723,1.1,1430,2.6
POA2334,32,1733,506,300,1478,1.1,1330,2.8
POA2335,35,1800,605,310,1781,1.1,1644,2.8
POA2336,37,1700,595,185,1597,1.1,1389,2.5
POA2337,38,1796,589,188,1517,1.1,1150,2.5
POA2338,44,1213,480,89,1130,1.1,812,2.3
POA2339,42,1290,451,100,981,1.1,845,2.4
POA2340,38,1500,541,210,1232,1.1,1001,2.5
POA2341,45,1180,372,160,890,1.1,705,2.3
POA2342,44,960,496,165,1087,1.1,974,2.5
POA2343,43,1140,465,145,1034,1.1,841,2.4
POA2344,42,1517,585,180,1466,1.1,1262,2.6
POA2345,40,1200,567,150,1212,1.1,1048,2.5
POA2346,47,888,369,155,801,1.1,678,2.3
POA2347,51,867,363,100,794,1.1,623,2.1
POA2350,37,1452,526,200,1308,1.1,1010,2.4
POA2351,20,0,208,0,0,0,0,0
POA2352,41,1420,471,220,1153,1.1,964,2.6
POA2353,45,1517,463,180,1280,1.1,1048,2.6
POA2354,45,867,457,100,1054,1.1,828,2.4
POA2355,46,1083,388,0,937,1.1,713,2.4
POA2357,45,953,392,135,947,1.1,730,2.4
POA2358,44,1213,458,160,1074,1.1,879,2.5
POA2359,44,934,409,140,949,1.1,636,2.5
POA2360,40,1240,444,170,985,1.1,812,2.5
POA2361,50,625,338,120,743,1.1,665,2.4
POA2365,42,1172,444,160,1055,1.1,879,2.5
POA2369,38,1083,367,135,834,1.2,726,2.7
POA2370,45,1083,405,160,926,1.1,742,2.3
POA2371,52,955,346,120,788,1.1,595,2.2
POA2372,48,1148,395,160,914,1.1,724,2.2
POA2380,39,1300,494,195,1238,1.1,950,2.5
POA2381,41,934,429,100,961,1.1,839,2.6
POA2382,41,1213,384,150,1054,1.1,884,2.6
POA2386,40,433,507,0,1024,1.0,838,2.3
POA2388,38,1083,492,120,1202,1.1,917,2.5
POA2390,39,1350,547,150,1280,1.1,1024,2.5
POA2395,47,867,340,110,743,1.1,531,2.2
POA2396,45,693,367,100,790,1.1,649,2.3
POA2397,41,433,603,100,1237,1.1,1105,2.4
POA2399,41,867,500,100,1222,1.1,952,2.6
POA2400,36,1300,591,150,1318,1.1,1104,2.5
POA2401,40,1615,387,0,900,1.1,700,2.5
POA2402,44,1000,397,105,948,1.1,735,2.3
POA2403,41,713,358,140,740,1.1,682,2.4
POA2404,52,945,359,125,783,1.1,609,2.2
